prompt_length_tokens,output_length_tokens,trial,m4_ttft_ms,m4_decode_ms,m4_e2e_ms,m4_throughput_tok_s,m2_ttft_ms,m2_decode_ms,m2_e2e_ms,m2_throughput_tok_s,measurement_type
64,16,1,16.837,314.5,331.34,48.29,30.349,420.95,451.3,35.45,measured
64,16,2,18.614,313.78,332.4,48.13,27.398,481.3,508.7,31.45,measured
64,16,3,18.511,324.81,343.32,46.6,26.732,423.52,450.25,35.54,measured
64,32,1,18.448,634.96,653.4,48.97,29.671,856.52,886.19,36.11,measured
64,32,2,18.136,573.16,591.29,54.12,30.539,986.54,1017.08,31.46,measured
64,32,3,18.721,574.94,593.66,53.9,30.092,971.16,1001.25,31.96,measured
64,64,1,18.204,1108.27,1126.47,56.81,29.565,1714.08,1743.64,36.7,measured
64,64,2,18.45,1156.72,1175.17,54.46,29.959,1720.86,1750.82,36.55,measured
64,64,3,18.789,1300.01,1318.8,48.53,27.412,1692.24,1719.65,37.22,measured
64,128,1,18.82,2520.55,2539.37,50.41,30.487,3830.86,3861.35,33.15,measured
64,128,2,18.713,2586.9,2605.62,49.12,29.499,3956.8,3986.3,32.11,measured
64,128,3,18.471,2569.96,2588.43,49.45,29.927,3388.9,3418.83,37.44,measured
64,256,1,16.982,5168.4,5185.38,49.37,30.708,6806.47,6837.18,37.44,measured
64,256,2,16.958,5173.63,5190.58,49.32,27.541,7745.33,7772.87,32.94,measured
64,256,3,16.84,5224.52,5241.36,48.84,29.671,6956.92,6986.59,36.64,measured
256,16,1,35.249,325.49,360.73,44.35,64.72,591.04,655.76,24.4,measured
256,16,2,39.957,381.12,421.07,38.0,64.066,573.66,637.73,25.09,measured
256,16,3,41.27,386.35,427.62,37.42,66.23,569.37,635.6,25.17,measured
256,32,1,35.348,755.29,790.64,40.47,65.917,1167.9,1233.82,25.94,measured
256,32,2,35.803,774.81,810.61,39.48,65.83,1185.67,1251.5,25.57,measured
256,32,3,36.393,765.7,802.09,39.9,66.947,1026.56,1093.51,29.26,measured
256,64,1,35.724,1363.94,1399.67,45.73,66.284,2358.39,2424.68,26.4,measured
256,64,2,41.104,1300.13,1341.24,47.72,66.809,2317.44,2384.25,26.84,measured
256,64,3,40.561,1496.12,1536.68,41.65,66.905,2367.32,2434.23,26.29,measured
256,128,1,37.066,2674.41,2711.48,47.21,66.244,4708.72,4774.96,26.81,measured
256,128,2,40.946,3097.04,3137.99,40.79,59.907,4630.63,4690.54,27.29,measured
256,128,3,40.496,3048.33,3088.83,41.44,65.903,4564.23,4630.14,27.64,measured
256,256,1,39.594,5201.46,5241.06,48.85,58.071,9483.04,9541.11,26.83,measured
256,256,2,39.69,6064.3,6103.99,41.94,65.039,8403.15,8468.18,30.23,measured
256,256,3,40.65,5431.11,5471.76,46.79,66.205,8223.75,8289.95,30.88,measured
512,16,1,80.924,479.62,560.55,28.54,131.307,756.13,887.44,18.03,measured
512,16,2,71.984,422.7,494.68,32.34,129.659,641.52,771.17,20.75,measured
512,16,3,80.552,475.73,556.28,28.76,117.308,633.38,750.69,21.31,measured
512,32,1,79.938,961.87,1041.81,30.72,129.446,1315.8,1445.25,22.14,measured
512,32,2,79.791,946.97,1026.76,31.17,129.486,1474.94,1604.43,19.94,measured
512,32,3,69.238,965.44,1034.68,30.93,127.629,1460.02,1587.65,20.16,measured
512,64,1,72.611,1881.0,1953.61,32.76,128.065,3027.93,3155.99,20.28,measured
512,64,2,77.349,1946.94,2024.29,31.62,113.424,3016.63,3130.06,20.45,measured
512,64,3,77.481,1901.65,1979.13,32.34,117.05,2987.29,3104.34,20.62,measured
512,128,1,71.092,3797.44,3868.53,33.09,127.053,5859.59,5986.64,21.38,measured
512,128,2,78.712,3873.06,3951.77,32.39,130.948,6020.84,6151.79,20.81,measured
512,128,3,79.135,3877.69,3956.82,32.35,116.263,5949.44,6065.7,21.1,measured
512,256,1,79.488,7733.09,7812.57,32.77,126.746,10238.16,10364.91,24.7,measured
512,256,2,69.733,7750.37,7820.11,32.74,130.767,10247.67,10378.44,24.67,measured
512,256,3,71.462,7627.96,7699.43,33.25,113.287,10470.5,10583.79,24.19,measured
