prompt_length_tokens,trial,m4_ptl_ms,m4_throughput_tok_s,m4_eff_bw_gb_s,m4_bw_util_pct,m2_ptl_ms,m2_throughput_tok_s,m2_eff_bw_gb_s,m2_bw_util_pct,measurement_type
32,1,19.289,51.84,114.05,95.0,30.416,32.88,72.33,72.3,measured
32,2,19.74,50.66,111.45,92.9,29.964,33.37,73.42,73.4,measured
32,3,17.01,58.79,129.34,107.8,26.009,38.45,84.59,84.6,measured
64,1,20.096,49.76,109.47,91.2,26.847,37.25,81.95,82.0,measured
64,2,17.718,56.44,124.17,103.5,30.855,32.41,71.3,71.3,measured
64,3,20.252,49.38,108.63,90.5,30.397,32.9,72.38,72.4,measured
128,1,18.364,54.45,119.8,99.8,27.065,36.95,81.29,81.3,measured
128,2,21.22,47.13,103.68,86.4,30.797,32.47,71.44,71.4,measured
128,3,20.538,48.69,107.12,89.3,27.418,36.47,80.24,80.2,measured
256,1,24.034,41.61,91.54,76.3,43.069,23.22,51.08,51.1,measured
256,2,20.528,48.71,107.17,89.3,35.805,27.93,61.44,61.4,measured
256,3,24.056,41.57,91.45,76.2,36.181,27.64,60.81,60.8,measured
512,1,37.186,26.89,59.16,49.3,54.669,18.29,40.24,40.2,measured
512,2,29.172,34.28,75.41,62.8,46.384,21.56,47.43,47.4,measured
512,3,26.478,37.77,83.09,69.2,46.852,21.34,46.96,47.0,measured
1024,1,51.186,19.54,42.98,35.8,78.421,12.75,28.05,28.1,measured
1024,2,49.858,20.06,44.13,36.8,68.41,14.62,32.16,32.2,measured
1024,3,50.185,19.93,43.84,36.5,97.692,10.24,22.52,22.5,measured
